,name,lat,lon,alti
0,BARCELONNETTE,44.391167,6.670167,1155
1,DIGNE LES BAINS,44.07,6.186667,554
2,RESTEFOND-NIVOSE,44.34,6.8,2550
3,LA MURE-ARGENS,43.977,6.520167,920
4,ARVIEUX,44.796,6.728,1825
5,PARPAILLON-NIVOSE,44.495333,6.636333,2545
6,EMBRUN,44.565667,6.502333,871
7,LA FAURIE,44.566667,5.750167,825
8,GAP,44.577667,6.079833,885
9,LA MEIJE-NIVOSE,45.01,6.27,3100
10,COL AGNEL-NIVOSE,44.69,6.98,2630
11,GALIBIER-NIVOSE,45.056833,6.377167,2559
12,ORCIERES-NIVOSE,44.719,6.333667,2294
13,RISTOLAS,44.765667,6.9845,1670
14,ST JEAN-ST-NICOLAS,44.670833,6.209833,1210
15,TALLARD,44.452167,6.033333,593
16,VILLAR D'ARENE,45.030833,6.361667,1665
17,VILLAR ST PANCRACE,44.880333,6.640333,1310
18,ASCROS,43.922,7.013667,1173
19,PEIRA CAVA,43.929167,7.363333,1443
20,PEONE,44.099667,6.930833,1784
21,MILLEFONTS-NIVOSE,44.118333,7.192,2430
22,CHAPELLE-EN-VER,44.9615,5.422167,879
23,LUS L CROIX HTE,44.672833,5.710833,1059
24,ST ROMAN-DIOIS,44.693833,5.428333,545
25,AIGLETON-NIVOSE,45.231,6.038167,2240
26,CREYS-MALVILLE,45.754,5.4705,215
27,LE GUA-NIVOSE,45.015,5.588667,1646
28,ALPE-D'HUEZ,45.087833,6.085667,1860
29,LA MURE- RADOME,44.935,5.786167,885
30,LES ECRINS-NIVOSE,44.936833,6.346167,2970
31,GRENOBLE-ST GEOIRS,45.364,5.313333,384
32,ST HILAIRE-NIVOSE,45.313833,5.8635,1756
33,ST-PIERRE-LES EGAUX,45.317333,5.803833,950
34,GRENOBLE - LVD,45.217167,5.8485,220
35,VILLARD-DE-LANS,45.0785,5.561,1027
36,CHAMROUSSE,45.128,5.878333,1730
37,ALBERTVILLE JO,45.662167,6.371833,335
38,BONNEVAL-NIVOSE,45.351667,7.051167,2740
39,MONT DU CHAT,45.6605,5.8215,1496
40,BELLECOTE-NIVOSE,45.49,6.77,3000
41,GRANDE PAREI NIVOSE,45.614667,6.647333,2240
43,COL-DES-SAISIES,45.755167,6.535333,1614
44,ALLANT-NIVOSE,45.663833,6.211833,1684
45,LA MASSE,45.296833,6.5095,2800
48,LE CHEVRIL-NIVOSE,45.5,6.96,2560
49,LES ROCHILLES-NIVOSE,45.085,6.469167,2443
50,LE TOUR,46.003833,6.9485,1500
51,AGUIL. DU MIDI,45.8785,6.8875,3845
52,AIGUILLES ROUGES-NIVOSE,45.986333,6.896833,2365
53,LE GRAND-BORNAND,45.973333,6.471833,1430
54,MEYTHET,45.928167,6.094,455
55,LE PLENAY,46.168333,6.693167,1515
57,Vallot,45.83972222,6.85222222,4360
58,Saint-Sorlin,45.17444,6.17,2720
59,Argentiere,45.967699,6.976024,2434
60,Dome Lac Blanc,45.1276528,6.10564167,2808
61,Col du Lac Blanc,45.1276389,6.1115555,2720
62,La Muzelle Lac Blanc,45.1272833,6.1111249999999995,2722
63,Col de Porte,45.295,5.765333,1325
64,Col du Lautaret,45.044,0.5,2050
